time_utc,insult,comeback,mood
2022-02-05 15:07:11,☠️ I've seen better moves in a senior citizen Zumba class! ☠️, You don't LOOK like you exercise much in your life! 🔥🔥🔥,
2022-02-05 15:09:00,☠️ I've seen better moves in a senior citizen Zumba class! ☠️, So have you heard about the Bump & Grind? 🔥🔥🔥,
2022-02-05 17:50:01,"☠️ novak djokovic doesn't need a vaccination, he was given to earth as a present from god himself. ☠️", He must have given himself herpes. 🔥🔥🔥,
2022-02-11 18:45:28,☠️ I once owned a dog that was smarter than you., And now he's dead! 🔥🔥🔥,
2022-02-11 18:58:34,This girl is the nastiest skank bitch I've ever met, That explains why you asked her to dance! 🔥🔥🔥,
2022-02-11 19:36:18,My great grandmother can fight better than you!," No offense, but she's dead. 🔥🔥🔥",
2022-02-12 13:17:08,I'll shove a trout down your mouth., Don't you dare! I'll call the cops! 🔥🔥🔥,
2022-02-12 13:27:38,I'll shove a trout down your mouth., I can't wait to see what you're going to put down your trousers. 🔥🔥🔥,🔥
2022-02-12 13:35:25,I'll shove a trout down your mouth., You'll have to catch one first.,❤️
2022-02-12 13:39:57,I'll shove a trout down your mouth., I'll shove a trout up your ass.,😲
2022-02-12 15:16:33,I once owned a dog that was smarter than you.," So, where is it now?",🔥
2022-06-13 15:16:33,This girl is the nastiest skank bitch I've ever met , You're about as dirty as a chocolate factory.,☠️
