time_utc,insult,comeback,mood
2022-02-13 00:16:00,I.. did not.. have sexual relations.. with that woman," Well, I did. And I enjoyed it very much.",💖
2022-02-12 22:48:00,When you're famous they let you do whatever you want. Grab 'em by the pussy!, You'd grab the pussy of your own mother if you could get away with it!,😲
2022-02-13 00:33:00,"Which is mightier, my quill or my cutlass?", My sword is sharper... and it's a lot longer!,💅
2022-02-13 02:08:00,I think you are really cute! Would you like to go out for a drink sometime?, With you? I'd rather have a root canal!,😭
2022-02-13 08:44:00,Insulting you is a waste of breath ," You can't insult me, I don't breathe.",🔥
2022-02-13 11:15:00,No one has ever beaten me in a fight!, That's because you're too fat to throw a punch!,🔥
2022-02-13 11:17:00,I've killed more people than some countries have inhabitants!, Have you ever considered a career in politics?,🔥
2022-02-13 11:19:00,You're gonna be unrecognizable when I'm done with you!, You'd better clean your glasses first.,💅
2022-02-13 17:45:00,Your mother looks like Jack Black's left testicle, Oh yeah? Your mother looks like Al Gore's right testicle.,☠️
2022-02-13 18:23:00,Is that a dead rat inside your mouth?, It couldn't have been dead for long. Its whiskers were still twitching.,☠️
2022-02-12 22:47:00,I've spoken with apes that have created better Monkey Island web apps.," Well, I'm glad to see you're not afraid of change.",🔥
2022-02-13 21:16:00,"You're not very sharp, Get the point?"," Yes, I get the point, thanks.",🔥
2022-02-13 21:41:00,"Every enemy I've met, I've annihilated. ", Sounds like you're a bit short on enemies.,☠️
2022-07-15 18:36:00,Your insults are even worse than the community shared zingers in the burn book!, It's a miracle I'm still standing.,😎
2022-02-13 21:15:00,Ive seen fancier moves at a retirement home., Why don't you spend less time at the casino and more time with your grandchildren?,🔥
2022-02-12 19:40:00,You have a face like a baboon's ass.," If you think that's a compliment, I'm not surprised.",🔥
2022-02-13 09:54:00,A real Mighty Pirate doesn't hide behind 1s and 0s!, You can't even count to 10!,🔥
