time_utc,insult,comeback,mood
13/02/2022 09:54,A real Mighty Pirateâ„¢ doesn't hide behind 1s and 0s!, You can't even count to 10!,ðŸ’–
13/02/2022 00:33,"Which is mightier, my quill or my cutlass?", My sword is sharper... and it's a lot longer!,ðŸ’…
12/02/2022 22:47,I've spoken with apes that have created better Monkey Island web apps.," Well, I'm glad to see you're not afraid of change.",â˜ ï¸
12/02/2022 19:40,You have a face like a baboon's ass.," If you think that's a compliment, I'm not surprised.",â˜ ï¸
13/02/2022 00:16,I.. did not.. have sexual relations.. with that woman," Well, I did. And I enjoyed it very much.",ðŸ˜²
12/02/2022 22:48,When you're famous they let you do whatever you want. Grab 'em by the pussy!, You'd grab the pussy of your own mother if you could get away with it!,ðŸ˜²
13/02/2022 02:08,I think you are really cute! Would you like to go out for a drink sometime?, With you? I'd rather have a root canal!,ðŸ˜­
13/02/2022 08:44,Insulting you is a waste of breath ," You can't insult me, I don't breathe.",ðŸ”¥ðŸ”¥
13/02/2022 11:15,No one has ever beaten me in a fight!, That's because you're too fat to throw a punch!,ðŸ”¥ðŸ”¥
13/02/2022 11:17,I've killed more people than some countries have inhabitants!, Have you ever considered a career in politics?,ðŸ”¥ðŸ”¥
13/02/2022 11:19,You're gonna be unrecognizable when I'm done with you!, You'd better clean your glasses first.,ðŸ”¥ðŸ”¥
13/02/2022 17:45,Your mother looks like Jack Black's left testicle, Oh yeah? Your mother looks like Al Gore's right testicle.,ðŸ”¥ðŸ”¥
13/02/2022 18:23,Is that a dead rat inside your mouth?, It couldn't have been dead for long. Its whiskers were still twitching.,ðŸ”¥ðŸ”¥
13/02/2022 21:15,Ive seen fancier moves at a retirement home., Why don't you spend less time at the casino and more time with your grandchildren?,ðŸ”¥ðŸ”¥
13/02/2022 21:16,"You're not very sharp, Get the point?"," Yes, I get the point, thanks.",ðŸ’–
13/02/2022 21:41,"Every enemy I've met, I've annihilated. ", Sounds like you're a bit short on enemies.,ðŸ”¥ðŸ”¥
15/02/2022 18:36,Your insults are even worse than the community shared zingers in the burn book!, It's a miracle I'm still standing!,ðŸ˜Ž
